"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c"
"a2B92000000cHmEEAU","0059200000I6s1oAAB","false","Account Covenant","AUD","2024-11-04T13:29:03.000Z","0059200000I6s1oAAB","2024-11-04T13:29:03.000Z","0059200000I6s1oAAB","2024-11-04T13:29:03.000Z","2025-01-22T12:11:43.000Z","2025-01-22T12:11:43.000Z","COV_Account","42541021493071900","false","false","false","","","","","","","","","false"
"a2B92000000cHmFEAU","0059200000I6s1oAAB","false","Loan Covenant","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","2025-01-22T12:11:43.000Z","2025-01-22T12:11:43.000Z","COV_Loan","42277564552243478","false","false","false","","","","","","","","","false"
