"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c","nFORCE__Disable_Read_Only_View__c"
"a2G92000000X4upEAC","0059200000I6s1oAAB","false","Account Covenants","AUD","2024-11-04T13:29:03.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","","2025-01-21T13:21:22.000Z","2025-01-21T13:21:22.000Z","false","true","42608959081623531","","","","","false"
"a2G92000000X4uqEAC","0059200000I6s1oAAB","false","Loan Covenants","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2025-01-10T15:13:39.000Z","0055h0000077lybAAA","2025-01-10T15:13:39.000Z","","2025-01-22T11:48:42.000Z","2025-01-22T11:48:42.000Z","false","true","42610664149607291","","","","","false"
