"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nPortal__Picklist_Buttons_Enabled__c","nFORCE__Address_Part__c"
"a3T92000000lxnpEAA","0059200000I6s1oAAB","false","FC-000609","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","","","","","Booked","","LLC_BI__Stage__c","","false","","","false","false","false","","","","a2F92000001ZWd1EAG","","false","","42213985001198524","LLC_BI__Loan__c","false","","false","false","","Stages to Display","false","false","false","","false",""
"a3T92000000lxnqEAA","0059200000I6s1oAAB","false","FC-000610","AUD","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2024-11-04T13:29:05.000Z","0059200000I6s1oAAB","2024-11-04T13:29:05.000Z","","","","","Booked","","LLC_BI__Stage__c","","false","","","false","false","false","","","","a2F92000001ZWd9EAG","","false","","42301296853049670","LLC_BI__Loan__c","false","","false","false","","Stages to Display","false","false","false","","false",""
