"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Group__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Route__c","nFORCE__lookupKey__c","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Primary_Button_Text__c","nPortal__Is_Portal_Enabled__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Question_Group__c","nFORCE__Visibility_Criteria__c","Route_App_Name__c","Route_Screen__c","nFORCE__Conditional_Display_Criteria__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nPortal__OA_Credit_Pull_Required__c"
"a2D9200000PlkdlEAB","0059200000I6s1oAAB","false","19825","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","2025-01-21T06:32:06.000Z","2025-01-21T06:32:06.000Z","a2B92000000cHmEEAU","false","","","a2E920000032aKGEAY","42279666395324269","","","false","false","false","false","","","account_current","<a href=""/a2G92000000X4up"" target=""_blank"">Account Covenants</a>","","false","false","false"
"a2D9200000PlkdmEAB","0059200000I6s1oAAB","false","19826","AUD","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","0059200000I6s1oAAB","2024-11-04T13:29:04.000Z","","","a2B92000000cHmFEAU","false","","","a2E920000032aKHEAY","42745669829333472","","","false","false","false","false","","","loan_current","<a href=""/a2G92000000X4uq"" target=""_blank"">Loan Covenants</a>","","false","false","false"
